transaction_id,customer_id,product_id,category,quantity,price,total_spent,timestamp
T000036,C00382,P00374,Snacks,4,149.18,596.72,2024-08-18T22:37:34
T000037,C00804,P00172,Dairy,8,37.89,303.12,2024-04-28T17:11:48
T000038,C00970,P00341,Bakery,6,22.15,132.9,2024-01-12T23:50:08
T000039,C00937,P00480,Vegetables,9,89.44,804.96,2024-04-26T10:58:21
T000040,C00386,P00244,Bakery,9,183.1,1647.9,2024-10-28T11:02:33
T000041,C00666,P00284,Fruits,2,190.17,380.34,2024-02-15T03:49:58
T000042,C00885,P00315,Fruits,3,169.7,509.1,2024-08-30T23:44:53
T000043,C00429,P00118,Vegetables,5,197.14,985.7,2024-03-12T10:37:49
T000044,C00284,P00337,Beverages,10,92.58,925.8,2024-07-06T00:40:36
T000045,C00875,P00497,Vegetables,8,73.49,587.92,2024-05-20T07:58:09
T000046,C00430,P00488,Fruits,7,118.23,827.61,2024-10-23T14:29:24
T000047,C00144,P00224,Vegetables,4,127.99,511.96,2024-03-11T09:54:35
T000048,C00386,P00464,Dairy,4,45.55,182.2,2024-07-19T23:27:29
T000049,C00186,P00144,Fruits,9,129.78,1168.02,2024-08-24T06:47:29
T000050,C00172,P00347,Dairy,5,49.07,245.35,2024-07-25T02:43:53
T000051,C00568,P00081,Bakery,7,89.47,626.29,2024-07-14T19:25:46
T000052,C00477,P00473,Vegetables,3,117.07,351.21,2024-03-30T18:16:39
T000053,C00116,P00205,Bakery,7,7.12,49.84,2024-08-14T23:55:30
T000054,C00070,P00021,Beverages,2,87.12,174.24,2024-06-17T09:58:39
T000055,C00152,P00315,Snacks,10,169.7,1697.0,2024-01-19T13:45:28
T000056,C00626,P00343,Beverages,1,188.05,188.05,2024-04-25T15:10:42
T000057,C00571,P00094,Snacks,3,106.81,320.43,2024-06-23T07:57:35
T000058,C00715,P00302,Vegetables,4,125.9,503.6,2024-06-23T17:53:29
T000059,C00336,P00057,Bakery,3,17.94,53.82,2024-08-06T23:18:16
T000060,C00829,P00479,Beverages,8,95.61,764.88,2024-10-23T17:58:38
T000061,C00923,P00124,Dairy,4,94.08,376.32,2024-03-01T01:21:57
T000062,C00492,P00406,Snacks,4,50.55,202.2,2024-01-19T11:25:43
T000063,C00474,P00481,Bakery,9,50.55,454.95,2024-09-07T20:08:12
T000064,C00857,P00113,Beverages,2,31.76,63.52,2024-10-03T11:26:07
T000065,C00865,P00393,Vegetables,9,128.23,1154.07,2024-10-29T22:44:35
T000066,C00906,P00088,Fruits,2,131.65,263.3,2024-08-08T14:44:57
T000067,C00238,P00421,Bakery,2,81.73,163.46,2024-09-11T04:35:11
T000068,C00809,P00204,Fruits,9,134.01,1206.09,2024-04-18T05:22:36
T000069,C00569,P00072,Dairy,10,92.03,920.3,2024-04-01T19:47:48
T000070,C00528,P00290,Fruits,2,123.26,246.52,2024-01-20T17:01:48
T000071,C00204,P00135,Fruits,8,129.49,1035.92,2024-01-31T08:21:28
T000072,C00420,P00224,Snacks,7,127.99,895.93,2024-02-17T05:15:34
T000073,C00653,P00355,Bakery,6,129.54,777.24,2024-11-08T00:41:28
T000074,C00032,P00462,Beverages,2,152.4,304.8,2024-10-24T00:31:52
T000075,C00341,P00098,Dairy,1,194.17,194.17,2024-05-04T00:17:20
T000076,C00120,P00149,Vegetables,6,145.54,873.24,2024-01-29T14:36:52
T000077,C00701,P00177,Beverages,2,43.75,87.5,2024-10-29T00:36:23
T000078,C00008,P00274,Vegetables,10,118.94,1189.4,2024-07-20T01:47:45
T000079,C00525,P00139,Beverages,1,16.41,16.41,2024-01-28T21:37:29
T000080,C00718,P00457,Beverages,8,100.89,807.12,2024-06-03T06:18:08
T000081,C00130,P00066,Snacks,8,130.46,1043.68,2024-04-15T21:47:07
T000082,C00391,P00476,Bakery,8,118.71,949.68,2024-03-07T00:31:53
T000083,C00294,P00433,Beverages,7,24.31,170.17,2024-11-02T07:11:14
T000084,C00018,P00027,Fruits,5,164.43,822.15,2024-11-14T08:46:50
T000085,C00253,P00186,Vegetables,9,165.33,1487.97,2024-02-09T15:42:33
T000086,C00578,P00106,Bakery,5,171.28,856.4,2024-08-05T11:10:38
T000087,C00381,P00175,Beverages,4,47.86,191.44,2024-10-28T09:30:35
T000088,C00051,P00250,Bakery,4,126.04,504.16,2024-08-24T18:25:07
T000089,C00516,P00176,Fruits,1,108.31,108.31,2024-04-11T08:29:56
T000090,C00029,P00459,Beverages,10,50.86,508.6,2024-05-29T17:30:16
T000091,C00491,P00215,Snacks,10,7.7,77.0,2024-01-22T18:59:08
T000092,C00861,P00176,Dairy,10,108.31,1083.1,2024-05-07T00:37:50
T000093,C00305,P00262,Beverages,5,136.28,681.4,2024-11-06T11:19:03
T000094,C00997,P00459,Dairy,2,50.86,101.72,2024-07-24T19:03:17
T000095,C00113,P00035,Snacks,6,94.66,567.96,2024-08-09T19:35:47
T000096,C00323,P00146,Bakery,8,161.09,1288.72,2024-01-10T07:11:37
T000097,C00939,P00093,Snacks,8,72.45,579.6,2024-07-11T18:17:29
T000098,C00361,P00490,Fruits,10,50.05,500.5,2024-09-16T14:16:44
T000099,C01000,P00338,Bakery,7,154.94,1084.58,2024-10-05T12:55:30
T000100,C00596,P00253,Bakery,2,174.79,349.58,2024-06-15T08:42:05
T000101,C00742,P00153,Snacks,10,190.49,1904.9,2024-08-06T09:40:35
T000102,C00185,P00153,Dairy,4,190.49,761.96,2024-10-07T07:00:49
T000103,C00787,P00318,Snacks,4,197.0,788.0,2024-06-02T11:28:53
T000104,C00272,P00439,Dairy,6,75.87,455.22,2024-09-14T20:12:04
T000105,C00739,P00127,Fruits,8,154.38,1235.04,2024-02-11T11:58:51
T000106,C00670,P00175,Beverages,8,47.86,382.88,2024-03-05T06:27:14
T000107,C00136,P00236,Snacks,1,40.15,40.15,2024-04-27T22:06:30
T000108,C00031,P00071,Snacks,10,121.27,1212.7,2024-04-17T22:57:53
T000109,C00698,P00136,Bakery,9,8.68,78.12,2024-05-23T04:41:57
T000110,C00412,P00377,Snacks,1,113.38,113.38,2024-01-13T19:52:52
T000111,C00975,P00303,Beverages,5,40.55,202.75,2024-06-30T17:30:50
T000112,C00295,P00001,Fruits,6,66.94,401.64,2024-11-05T21:07:13
T000113,C00995,P00214,Snacks,7,61.37,429.59,2024-07-30T21:49:07
T000114,C00738,P00221,Bakery,1,37.56,37.56,2024-05-22T10:09:52
T000115,C00597,P00072,Fruits,9,92.03,828.27,2024-02-23T22:45:41
T000116,C00714,P00325,Dairy,10,161.86,1618.6,2024-01-05T19:14:11
T000117,C00096,P00301,Bakery,6,79.24,475.44,2024-04-09T01:15:20
T000118,C00382,P00124,Dairy,4,94.08,376.32,2024-02-03T16:27:36
T000119,C00733,P00002,Vegetables,2,41.12,82.24,2024-09-24T08:07:57
T000120,C00125,P00103,Beverages,10,119.92,1199.2,2024-10-07T00:52:38
T000121,C00680,P00011,Snacks,3,50.17,150.51,2024-05-11T00:12:48
T000122,C00470,P00366,Snacks,6,85.23,511.38,2024-07-20T06:50:07
T000123,C00152,P00439,Fruits,9,75.87,682.83,2024-06-12T04:51:09
T000124,C00915,P00020,Bakery,4,16.96,67.84,2024-01-18T20:00:09
T000125,C00144,P00079,Dairy,10,105.75,1057.5,2024-05-05T14:50:21
T000126,C00040,P00095,Beverages,9,119.32,1073.88,2024-09-22T05:45:51
T000127,C00811,P00081,Bakery,10,89.47,894.7,2024-06-28T10:20:27
T000128,C00547,P00102,Dairy,6,103.08,618.48,2024-01-28T21:41:01
T000129,C00593,P00496,Bakery,9,190.21,1711.89,2024-02-05T19:10:35
T000130,C00321,P00393,Vegetables,2,128.23,256.46,2024-02-10T06:01:48
T000131,C00521,P00463,Beverages,6,85.36,512.16,2024-01-24T17:12:19
T000132,C00268,P00474,Bakery,5,31.94,159.7,2024-08-03T03:03:26
T000133,C00182,P00393,Beverages,6,128.23,769.38,2024-01-09T06:22:26
T000134,C00572,P00318,Beverages,7,197.0,1379.0,2024-07-24T11:51:32
T000135,C00649,P00417,Vegetables,5,36.32,181.6,2024-04-25T06:13:48
T000136,C00192,P00107,Fruits,8,10.82,86.56,2024-02-07T09:16:37
T000137,C00759,P00231,Vegetables,7,7.27,50.89,2024-09-08T12:49:02
T000138,C00789,P00423,Vegetables,4,154.01,616.04,2024-01-06T08:57:37
T000139,C00218,P00403,Beverages,8,10.09,80.72,2024-05-24T01:25:50
T000140,C00024,P00249,Dairy,7,55.16,386.12,2024-09-23T14:56:45
T000141,C00060,P00494,Dairy,8,59.87,478.96,2024-05-29T07:52:25
T000142,C00988,P00346,Fruits,3,128.63,385.89,2024-03-29T06:38:13
T000143,C00280,P00169,Bakery,6,112.28,673.68,2024-08-03T07:51:57
T000144,C00161,P00294,Snacks,9,58.88,529.92,2024-08-31T02:39:10
T000145,C00353,P00326,Vegetables,9,199.11,1791.99,2024-06-24T09:56:49
T000146,C00719,P00068,Dairy,10,120.05,1200.5,2024-02-23T19:46:34
T000147,C00871,P00340,Dairy,2,75.94,151.88,2024-07-06T18:19:27
T000148,C00461,P00174,Dairy,7,66.17,463.19,2024-05-02T17:14:47
T000149,C00365,P00022,Snacks,3,84.32,252.96,2024-03-20T21:44:49
T000150,C00041,P00066,Bakery,5,130.46,652.3,2024-08-26T06:06:00
T000151,C00191,P00499,Bakery,5,112.16,560.8,2024-05-04T16:47:33
T000152,C00285,P00476,Beverages,3,118.71,356.13,2024-06-05T01:02:10
T000153,C00708,P00483,Bakery,9,104.46,940.14,2024-03-07T18:06:21
T000154,C00564,P00222,Dairy,6,41.33,247.98,2024-07-18T22:54:45
T000155,C00141,P00296,Dairy,9,168.3,1514.7,2024-06-02T15:30:08
T000156,C00085,P00040,Snacks,4,178.43,713.72,2024-10-20T03:48:12
T000157,C00907,P00073,Bakery,1,167.56,167.56,2024-06-14T08:03:04
T000158,C00004,P00325,Beverages,5,161.86,809.3,2024-07-12T22:46:29
T000159,C00891,P00484,Snacks,9,198.06,1782.54,2024-07-28T00:11:27
T000160,C00674,P00013,Dairy,7,29.32,205.24,2024-10-13T20:30:53
T000161,C00490,P00217,Bakery,5,127.68,638.4,2024-03-13T07:10:18
T000162,C00673,P00286,Beverages,4,35.88,143.52,2024-05-15T16:54:11
T000163,C00681,P00410,Vegetables,10,24.23,242.3,2024-05-02T16:42:21
T000164,C00300,P00438,Beverages,2,119.57,239.14,2024-08-21T22:01:49
T000165,C00952,P00342,Bakery,9,192.9,1736.1,2024-11-10T21:11:55
T000166,C00164,P00081,Bakery,5,89.47,447.35,2024-02-17T13:15:52
T000167,C00644,P00287,Bakery,8,79.15,633.2,2024-02-06T09:51:33
T000168,C00591,P00215,Bakery,7,7.7,53.9,2024-09-17T18:13:30
T000169,C00288,P00362,Snacks,9,40.93,368.37,2024-07-06T20:49:18
T000170,C00037,P00274,Snacks,5,118.94,594.7,2024-06-27T04:41:17
T000171,C00201,P00032,Beverages,4,178.01,712.04,2024-07-13T05:03:30
T000172,C00177,P00015,Dairy,1,161.04,161.04,2024-11-05T13:32:41
T000173,C00419,P00210,Dairy,6,141.6,849.6,2024-04-15T23:29:16
T000174,C00836,P00314,Snacks,4,177.19,708.76,2024-07-16T14:44:18
T000175,C00880,P00179,Dairy,6,58.02,348.12,2024-07-13T04:18:23
T000176,C00716,P00344,Snacks,9,18.99,170.91,2024-11-03T16:49:11
T000177,C00938,P00044,Dairy,2,144.69,289.38,2024-01-27T01:25:52
T000178,C00497,P00039,Fruits,6,182.06,1092.36,2024-11-16T13:09:13
T000179,C00686,P00027,Vegetables,6,164.43,986.58,2024-04-27T23:43:07
T000180,C00180,P00440,Fruits,7,149.87,1049.09,2024-04-02T02:10:50
T000181,C00815,P00185,Dairy,1,16.68,16.68,2024-01-23T21:11:26
T000182,C00986,P00138,Vegetables,9,174.06,1566.54,2024-01-26T17:22:07
T000183,C00357,P00472,Fruits,3,90.2,270.6,2024-11-12T05:46:29
T000184,C00671,P00283,Bakery,6,196.14,1176.84,2024-10-04T01:57:43
T000185,C00546,P00110,Fruits,9,155.42,1398.78,2024-05-03T10:50:09
T000186,C00951,P00189,Fruits,10,51.07,510.7,2024-06-13T19:07:39
T000187,C00776,P00254,Fruits,1,118.57,118.57,2024-11-11T10:56:05
T000188,C00992,P00140,Dairy,2,147.69,295.38,2024-08-10T21:44:10
T000189,C00499,P00107,Snacks,8,10.82,86.56,2024-09-30T22:46:08
T000190,C00305,P00035,Bakery,9,94.66,851.94,2024-03-29T19:56:47
T000191,C00289,P00500,Vegetables,10,55.71,557.1,2024-05-11T16:51:35
T000192,C00823,P00258,Snacks,4,143.89,575.56,2024-09-01T00:04:14
T000193,C00124,P00051,Dairy,6,36.85,221.1,2024-05-24T00:42:39
T000194,C00889,P00222,Beverages,2,41.33,82.66,2024-06-09T07:59:36
T000195,C00181,P00092,Dairy,7,142.22,995.54,2024-09-17T04:21:32
T000196,C00647,P00115,Fruits,6,83.99,503.94,2024-08-24T14:51:06
T000197,C00325,P00451,Beverages,4,47.2,188.8,2024-11-01T14:34:13
T000198,C00216,P00062,Dairy,9,162.74,1464.66,2024-02-25T07:05:53
T000199,C00634,P00211,Bakery,7,50.21,351.47,2024-10-25T03:41:35
T000200,C00723,P00002,Dairy,3,41.12,123.36,2024-07-15T14:27:21
T000201,C00185,P00416,Fruits,5,57.72,288.6,2024-03-29T14:42:28
T000202,C00369,P00003,Fruits,5,147.37,736.85,2024-08-07T11:02:24
T000203,C00442,P00112,Bakery,3,140.74,422.22,2024-05-27T04:11:21
T000204,C00731,P00104,Fruits,1,194.49,194.49,2024-06-09T05:41:07
T000205,C00659,P00126,Snacks,9,76.22,685.98,2024-06-29T00:33:55
T000206,C00069,P00349,Bakery,3,52.62,157.86,2024-02-20T14:23:43
T000207,C00074,P00077,Bakery,2,75.38,150.76,2024-04-14T08:42:14
T000208,C00283,P00400,Fruits,7,32.14,224.98,2024-07-11T03:50:40
T000209,C00969,P00431,Snacks,10,175.21,1752.1,2024-06-15T02:10:40
T000210,C00029,P00124,Fruits,4,94.08,376.32,2024-07-10T21:00:35
T000211,C00307,P00023,Fruits,9,147.77,1329.93,2024-10-17T17:38:51
T000212,C00822,P00302,Beverages,7,125.9,881.3,2024-06-05T15:50:28
T000213,C00025,P00169,Vegetables,7,112.28,785.96,2024-06-19T15:39:42
T000214,C00006,P00016,Dairy,6,96.81,580.86,2024-04-20T06:35:34
T000215,C00420,P00435,Snacks,8,89.19,713.52,2024-01-02T02:45:50
T000216,C00556,P00026,Dairy,10,169.97,1699.7,2024-04-19T09:21:17
T000217,C00321,P00322,Vegetables,10,76.43,764.3,2024-07-25T03:38:05
T000218,C00978,P00021,Dairy,1,87.12,87.12,2024-04-07T23:38:56
T000219,C00154,P00018,Bakery,8,52.74,421.92,2024-04-25T14:35:43
T000220,C00112,P00318,Bakery,7,197.0,1379.0,2024-06-28T06:51:12
T000221,C00270,P00429,Dairy,8,56.5,452.0,2024-05-19T13:26:49
T000222,C00002,P00227,Snacks,8,132.27,1058.16,2024-03-05T15:00:58
T000223,C00447,P00209,Beverages,3,180.76,542.28,2024-09-17T18:11:44
T000224,C00422,P00284,Dairy,2,190.17,380.34,2024-03-01T19:45:53
T000225,C00827,P00104,Bakery,5,194.49,972.45,2024-08-19T00:57:15
T000226,C00072,P00234,Vegetables,5,30.46,152.3,2024-08-24T03:41:34
T000227,C00549,P00361,Fruits,1,139.69,139.69,2024-06-23T04:00:08
T000228,C00579,P00086,Vegetables,2,154.64,309.28,2024-02-22T12:01:28
T000229,C00320,P00034,Snacks,2,178.68,357.36,2024-01-06T05:56:06
T000230,C00142,P00378,Snacks,6,72.49,434.94,2024-06-29T19:51:33
T000231,C00064,P00249,Vegetables,8,55.16,441.28,2024-08-17T02:45:20
T000232,C00034,P00010,Bakery,4,32.55,130.2,2024-06-07T04:16:27
T000233,C00632,P00072,Vegetables,4,92.03,368.12,2024-09-04T16:39:53
T000234,C00772,P00033,Bakery,5,176.01,880.05,2024-06-22T23:15:00
T000235,C00485,P00403,Beverages,3,10.09,30.27,2024-02-24T04:44:37
T000236,C00331,P00105,Vegetables,6,194.01,1164.06,2024-09-15T21:10:15
T000237,C00414,P00291,Bakery,7,22.17,155.19,2024-04-18T08:41:52
T000238,C00037,P00488,Vegetables,7,118.23,827.61,2024-08-23T21:59:33
T000239,C00652,P00009,Vegetables,8,115.08,920.64,2024-01-22T03:36:32
T000240,C00980,P00381,Fruits,8,19.26,154.08,2024-07-27T07:43:43
T000241,C00722,P00423,Snacks,10,154.01,1540.1,2024-01-04T02:33:47
T000242,C00451,P00043,Dairy,9,184.64,1661.76,2024-11-04T07:29:54
T000243,C00276,P00064,Vegetables,7,176.04,1232.28,2024-03-21T04:08:44
T000244,C00632,P00283,Dairy,2,196.14,392.28,2024-08-11T00:16:40
T000245,C00302,P00264,Beverages,7,64.08,448.56,2024-01-13T13:14:52
T000246,C00297,P00346,Dairy,4,128.63,514.52,2024-09-10T00:31:53
T000247,C00101,P00461,Dairy,3,104.4,313.2,2024-07-12T10:23:11
T000248,C00922,P00145,Vegetables,6,34.25,205.5,2024-05-13T21:51:05
T000249,C00785,P00139,Beverages,1,16.41,16.41,2024-08-23T17:23:34
T000250,C00309,P00467,Fruits,9,198.49,1786.41,2024-06-24T16:57:37
T000251,C00654,P00299,Bakery,4,147.31,589.24,2024-09-10T00:42:21
T000252,C00945,P00276,Vegetables,1,111.05,111.05,2024-02-12T17:34:12
T000253,C00927,P00273,Beverages,1,175.51,175.51,2024-07-16T06:01:42
T000254,C00756,P00291,Vegetables,2,22.17,44.34,2024-07-01T12:39:22
T000255,C00971,P00097,Beverages,8,182.87,1462.96,2024-07-18T00:42:39
T000256,C00207,P00016,Snacks,6,96.81,580.86,2024-08-31T12:21:51
T000257,C00331,P00083,Beverages,1,121.4,121.4,2024-07-23T09:03:12
T000258,C00295,P00017,Bakery,8,16.37,130.96,2024-06-09T21:32:12
T000259,C00412,P00271,Bakery,10,119.35,1193.5,2024-07-17T08:58:18
T000260,C00998,P00012,Vegetables,6,114.69,688.14,2024-07-20T01:18:56
T000261,C00743,P00485,Dairy,5,32.02,160.1,2024-01-04T05:50:51
T000262,C00066,P00493,Fruits,9,59.12,532.08,2024-03-18T01:30:01
T000263,C00759,P00391,Dairy,9,173.25,1559.25,2024-01-11T01:08:46
T000264,C00444,P00479,Vegetables,8,95.61,764.88,2024-01-28T20:17:30
T000265,C00639,P00331,Snacks,9,148.77,1338.93,2024-02-29T12:31:32
T000266,C00440,P00154,Snacks,2,18.37,36.74,2024-02-08T21:47:17
T000267,C00192,P00402,Bakery,6,155.47,932.82,2024-04-21T15:49:10
T000268,C00953,P00467,Bakery,2,198.49,396.98,2024-01-11T14:40:46
T000269,C00476,P00087,Beverages,7,134.99,944.93,2024-01-28T20:15:27
T000270,C00976,P00220,Snacks,9,32.62,293.58,2024-09-07T15:21:55
T000271,C00317,P00062,Beverages,5,162.74,813.7,2024-03-01T05:52:50
T000272,C00399,P00401,Dairy,7,52.77,369.39,2024-03-27T08:12:21
T000273,C00924,P00364,Bakery,9,198.19,1783.71,2024-05-11T05:43:55
T000274,C00505,P00161,Snacks,7,148.09,1036.63,2024-07-14T22:05:27
T000275,C00258,P00307,Beverages,6,126.29,757.74,2024-03-23T13:32:25
T000276,C00156,P00379,Fruits,5,187.65,938.25,2024-02-20T10:02:09
T000277,C00476,P00277,Snacks,2,107.05,214.1,2024-05-10T23:41:24
T000278,C00003,P00406,Bakery,8,50.55,404.4,2024-01-20T19:19:43
T000279,C00228,P00098,Fruits,7,194.17,1359.19,2024-08-03T16:44:12
T000280,C00305,P00160,Bakery,4,147.54,590.16,2024-08-23T08:01:55
T000281,C00838,P00302,Snacks,4,125.9,503.6,2024-05-11T11:38:30
T000282,C00067,P00460,Vegetables,6,14.71,88.26,2024-08-24T15:36:46
T000283,C00206,P00160,Snacks,5,147.54,737.7,2024-03-30T15:01:42
T000284,C00709,P00034,Vegetables,6,178.68,1072.08,2024-08-12T08:35:51
T000285,C00748,P00049,Snacks,8,124.04,992.32,2024-10-15T00:57:13
T000286,C00662,P00385,Bakery,8,71.45,571.6,2024-01-23T23:59:21
T000287,C00982,P00115,Dairy,8,83.99,671.92,2024-04-21T18:01:02
T000288,C00554,P00265,Fruits,2,131.11,262.22,2024-08-11T18:24:13
T000289,C00941,P00418,Vegetables,3,67.27,201.81,2024-08-22T01:17:15
T000290,C00176,P00155,Vegetables,7,152.01,1064.07,2024-06-28T05:23:03
T000291,C00788,P00245,Vegetables,3,173.45,520.35,2024-11-01T04:38:49
T000292,C00480,P00262,Beverages,2,136.28,272.56,2024-09-23T18:33:55
T000293,C00892,P00015,Fruits,7,161.04,1127.28,2024-04-13T18:22:29
T000294,C00698,P00133,Vegetables,4,179.39,717.56,2024-08-19T02:45:11
T000295,C00131,P00292,Snacks,5,198.72,993.6,2024-07-28T22:57:34
T000296,C00199,P00078,Bakery,5,119.01,595.05,2024-01-01T19:29:51
T000297,C00786,P00453,Beverages,5,171.15,855.75,2024-05-07T03:19:37
T000298,C00883,P00183,Bakery,8,87.46,699.68,2024-10-20T16:17:40
T000299,C00624,P00373,Beverages,5,180.39,901.95,2024-11-02T21:27:31
T000300,C00934,P00397,Vegetables,4,155.12,620.48,2024-02-12T10:57:51
T000301,C00375,P00246,Beverages,2,128.9,257.8,2024-01-11T18:53:23
T000302,C00611,P00127,Fruits,8,154.38,1235.04,2024-07-07T00:55:52
T000303,C00786,P00447,Bakery,8,178.62,1428.96,2024-09-09T06:50:55
T000304,C00359,P00290,Bakery,9,123.26,1109.34,2024-06-28T19:25:04
T000305,C00937,P00369,Snacks,8,119.85,958.8,2024-10-25T00:30:18
T000306,C00399,P00091,Fruits,7,138.12,966.84,2024-09-08T14:35:36
T000307,C00227,P00050,Dairy,3,178.52,535.56,2024-04-06T10:23:50
T000308,C00205,P00256,Bakery,5,29.92,149.6,2024-06-26T01:36:55
T000309,C00866,P00207,Fruits,6,122.86,737.16,2024-07-05T22:46:11
T000310,C00689,P00194,Bakery,6,42.22,253.32,2024-08-18T01:25:54
T000311,C00059,P00246,Fruits,7,128.9,902.3,2024-10-07T14:57:54
T000312,C00021,P00217,Dairy,6,127.68,766.08,2024-01-08T16:24:16
T000313,C00411,P00160,Snacks,7,147.54,1032.78,2024-09-17T19:07:18
T000314,C00385,P00464,Vegetables,9,45.55,409.95,2024-10-22T07:07:38
T000315,C00851,P00034,Beverages,9,178.68,1608.12,2024-08-19T14:11:37
T000316,C00976,P00186,Snacks,10,165.33,1653.3,2024-05-11T05:55:49
T000317,C00206,P00310,Bakery,6,73.87,443.22,2024-05-01T18:16:25
T000318,C00086,P00181,Dairy,2,17.55,35.1,2024-08-30T21:59:31
T000319,C00156,P00281,Vegetables,9,190.28,1712.52,2024-05-15T03:53:06
T000320,C00318,P00167,Dairy,8,46.71,373.68,2024-10-28T05:34:13
T000321,C00871,P00332,Bakery,5,62.57,312.85,2024-01-28T19:10:09
T000322,C00095,P00372,Fruits,6,169.03,1014.18,2024-02-03T02:39:24
T000323,C00295,P00035,Bakery,5,94.66,473.3,2024-02-12T05:28:52
T000324,C00851,P00111,Vegetables,10,48.7,487.0,2024-01-08T14:28:58
T000325,C00287,P00222,Bakery,9,41.33,371.97,2024-04-22T22:39:44
T000326,C00426,P00090,Dairy,5,135.06,675.3,2024-08-29T13:49:18
T000327,C00143,P00484,Vegetables,9,198.06,1782.54,2024-10-20T06:10:26
T000328,C00232,P00200,Vegetables,10,161.45,1614.5,2024-03-10T20:37:57
T000329,C00594,P00417,Snacks,5,36.32,181.6,2024-09-19T11:23:25
T000330,C00858,P00086,Vegetables,10,154.64,1546.4,2024-04-03T12:34:37
T000331,C00595,P00236,Beverages,10,40.15,401.5,2024-10-09T17:38:22
T000332,C00304,P00020,Snacks,5,16.96,84.8,2024-02-28T22:46:32
T000333,C00888,P00124,Bakery,7,94.08,658.56,2024-08-25T10:19:34
T000334,C00120,P00063,Bakery,4,182.87,731.48,2024-09-17T16:23:39
T000335,C00015,P00248,Beverages,10,55.6,556.0,2024-07-23T20:02:47
T000336,C00347,P00101,Dairy,4,93.55,374.2,2024-03-10T18:15:34
T000337,C00196,P00022,Dairy,1,84.32,84.32,2024-08-18T00:32:16
T000338,C00338,P00461,Beverages,6,104.4,626.4,2024-03-14T09:14:56
T000339,C00849,P00272,Fruits,10,134.35,1343.5,2024-09-25T04:21:26
T000340,C00780,P00200,Beverages,6,161.45,968.7,2024-02-17T15:18:23
T000341,C00095,P00034,Bakery,3,178.68,536.04,2024-07-12T11:34:42
T000342,C00072,P00360,Fruits,10,11.05,110.5,2024-05-02T12:46:24
T000343,C00802,P00028,Vegetables,1,83.01,83.01,2024-07-02T21:39:59
T000344,C00384,P00070,Fruits,9,154.09,1386.81,2024-11-07T05:18:58
T000345,C00265,P00164,Snacks,4,149.61,598.44,2024-08-31T18:02:27
